# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
 OGLE-2016-BLG-1469L b,Confirmed,13.6,3.0,3.0,,,,,,,,,,0.33,0.04,0.04,,,,,,,,2017,2017-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2016-BLG-1469L,271.945750016,-26.2898888998,,,,,,4500.0,,,,,,0.048,0.007,0.007,,,,,,,,,,,,,
Kepler-1275 b,Confirmed,,,,,,,0.132,0.024,0.058,3.65691115,1.583e-05,1.583e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1275,293.500497,44.932457,,,13.4,13.119,13.062,1280.0,,,0.04,0.16,0.131,1.23,0.13,0.21,1.36,0.23,0.6,,,,,6296.0,214.87,202.94,,,
Kepler-1276 b,Confirmed,,,,,,,0.106,0.01,0.018,12.5720095,0.0001098,0.0001098,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1276,287.85701,40.547181,,,11.923,11.663,11.639,587.0,,,-0.02,0.096,0.084,1.14,0.05,0.05,1.21,0.1,0.14,,,,,6188.0,55.24,65.25,,,
Kepler-1277 b,Confirmed,,,,,,,0.143,0.01,0.026,40.8365012,0.0004586,0.0004586,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1277,295.102413,40.572396,,,12.873,12.497,12.427,606.0,,,-0.01,0.111,0.105,0.94,0.04,0.04,0.92,0.05,0.06,,,,,5578.0,68.73,82.21,,,
Kepler-1278 b,Confirmed,,,,,,,0.09,0.011,0.028,3.23941344,1.696e-05,1.696e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1278,282.956935,42.825619,,,12.625,12.316,12.27,743.0,,,0.02,0.161,0.134,1.11,0.08,0.11,1.16,0.13,0.35,,,,,6074.0,128.32,112.24,,,
Kepler-1279 b,Confirmed,,,,,,,0.156,0.024,0.079,23.4774101,0.0002445,0.0002445,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1279,288.095635,40.365964,,,12.901,12.662,12.62,1017.0,,,0.06,0.141,0.134,1.21,0.1,0.19,1.33,0.19,0.62,,,,,6221.0,110.44,97.8,,,
Kepler-128 b,Confirmed,0.0941,0.142,0.061,,,,0.101,0.014,0.014,15.09,,,,,,,,,,,,,2013,2013-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-128,282.4917,43.9803,11.4,,,,,,,,-0.048,,,1.17,0.51,0.37,1.55,0.22,0.22,,,,,6013.0,,,,,
Kepler-128 c,Confirmed,0.104,0.149,0.07,,,,0.101,0.014,0.014,22.804,,,,,,,,,,,,,2013,2013-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-128,282.4917,43.9803,11.4,,,,,,,,-0.048,,,1.17,0.51,0.37,1.55,0.22,0.22,,,,,6013.0,,,,,
Kepler-1280 b,Confirmed,,,,,,,0.167,0.026,0.074,66.5579057,0.0007705,0.0007705,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1280,293.573935,45.384541,,,12.966,12.717,12.602,1006.0,,,0.04,0.153,0.135,1.2,0.11,0.18,1.32,0.2,0.59,,,,,6227.0,156.51,121.69,,,
Kepler-1281 b,Confirmed,,,,,,,0.146,0.012,0.012,3.11602791,1.3e-05,1.3e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1281,295.354457,48.515404,,,14.477,14.094,13.929,1090.0,,,-0.04,0.175,0.169,0.87,0.05,0.04,0.83,0.05,0.06,,,,,5353.0,93.58,86.5,,,
Kepler-1282 b,Confirmed,,,,,,,0.138,0.01,0.019,2.13194651,6.87e-06,6.87e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1282,290.176173,46.698338,,,14.318,13.941,13.852,1126.0,,,0.01,0.168,0.137,0.92,0.04,0.04,0.89,0.06,0.11,,,,,5504.0,78.7,81.08,,,
Kepler-1283 b,Confirmed,,,,,,,0.17,0.028,0.07,12.9460978,0.0002185,0.0002185,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1283,295.462337,40.776969,,,13.92,13.612,13.567,1452.0,,,0.04,0.159,0.128,1.16,0.11,0.18,1.25,0.2,0.51,,,,,6175.0,233.53,183.18,,,
Kepler-1284 b,Confirmed,,,,,,,0.108,0.006,0.009,0.66407381,1.48e-06,1.48e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1284,291.279002,47.687649,,,14.162,13.753,13.572,852.0,,,0.03,0.175,0.17,0.84,0.04,0.04,0.79,0.04,0.05,,,,,5123.0,83.53,62.8,,,
Kepler-1285 b,Confirmed,,,,,,,0.087,0.007,0.009,14.7967458,0.0001134,0.0001134,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1285,281.835355,44.155926,,,10.785,10.503,10.484,364.0,,,0.16,0.088,0.089,1.2,0.04,0.05,1.28,0.09,0.12,,,,,6170.0,62.49,67.21,,,
Kepler-1286 b,Confirmed,,,,,,,0.192,0.016,0.04,11.25402929,6.812e-05,6.812e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1286,280.258382,43.835766,,,14.017,13.683,13.655,1150.0,,,0.03,0.155,0.138,1.0,0.05,0.05,0.98,0.07,0.2,,,,,5753.0,79.2,74.56,,,
Kepler-1287 b,Confirmed,,,,,,,0.137,0.012,0.02,11.47685909,6.466e-05,6.466e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1287,289.134661,47.062996,,,13.925,13.54,13.505,1027.0,,,-0.05,0.183,0.147,0.96,0.06,0.05,0.94,0.07,0.13,,,,,5715.0,83.95,93.97,,,
Kepler-1288 b,Confirmed,,,,,,,0.1,0.014,0.042,2.76122421,1.477e-05,1.477e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1288,285.713488,41.605873,,,12.239,12.003,11.959,715.0,,,0.14,0.143,0.157,1.2,0.08,0.16,1.29,0.17,0.54,,,,,6132.0,135.79,87.95,,,
Kepler-1289 b,Confirmed,,,,,,,0.136,0.021,0.044,7.99019627,5.083e-05,5.083e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1289,296.388807,41.040571,,,13.439,13.109,13.043,1059.0,,,0.02,0.153,0.134,1.1,0.1,0.17,1.17,0.18,0.37,,,,,6080.0,268.17,245.65,,,
Kepler-129 b,Confirmed,,,,,,,0.2149,0.0036,0.0036,15.791619,5.3e-05,5.3e-05,0.131,,,0.01,0.01,0.24,,,,,2014,2015-12-17,,,,,,,,,,,,,,,,,,,0.54,0.24,0.24,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-129,285.31127925,47.848595,,,10.6,10.325,10.252,,,,,,,1.18,,,1.64,0.05,0.05,,,,,5770.0,83.0,83.0,,,
Kepler-129 c,Confirmed,,,,,,,0.225,0.0059,0.0059,82.20017,0.00068,0.00068,0.393,,,0.2,0.2,0.15,,,,,2014,2015-12-17,,,,,,,,,,,,,,,,,,,0.12,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-129,285.31127925,47.848595,,,10.6,10.325,10.252,,,,,,,1.18,,,1.64,0.05,0.05,,,,,5770.0,83.0,83.0,,,
Kepler-1290 b,Confirmed,,,,,,,0.127,0.012,0.019,4.69500134,4.206e-05,4.206e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1290,290.685249,43.859638,,,14.505,14.116,14.112,1321.0,,,-0.02,0.174,0.131,0.95,0.05,0.05,0.93,0.07,0.13,,,,,5660.0,108.37,114.11,,,
Kepler-1291 b,Confirmed,,,,,,,0.148,0.016,0.009,8.63043276,6.731e-05,6.731e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1291,289.377032,40.001151,,,14.412,13.966,13.893,982.0,,,-0.04,0.169,0.142,0.84,0.05,0.04,0.8,0.05,0.05,,,,,5216.0,108.14,81.36,,,
Kepler-1292 b,Confirmed,,,,,,,0.162,0.012,0.026,3.27646405,1.548e-05,1.548e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1292,284.90572,43.949169,,,14.679,14.392,14.19,1406.0,,,0.08,0.158,0.166,0.95,0.04,0.04,0.93,0.06,0.14,,,,,5556.0,77.3,63.0,,,
Kepler-1293 b,Confirmed,,,,,,,0.087,0.013,0.037,5.57654784,4.024e-05,4.024e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1293,290.025921,48.335949,,,12.412,12.134,12.075,770.0,,,0.0,0.19,0.12,1.18,0.1,0.18,1.28,0.18,0.55,,,,,6241.0,99.8,114.93,,,
Kepler-1294 b,Confirmed,,,,,,,0.285,0.028,0.048,115.6862258,0.0008445,0.0008445,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1294,291.268101,44.488194,,,14.021,13.657,13.597,1120.0,,,-0.03,0.18,0.14,0.99,0.06,0.07,0.97,0.09,0.16,,,,,5776.0,137.2,152.5,,,
Kepler-1295 b,Confirmed,,,,,,,0.138,0.011,0.018,3.81371974,2.278e-05,2.278e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1295,291.397864,45.588559,,,14.563,14.227,14.092,1257.0,,,0.04,0.157,0.142,0.92,0.04,0.04,0.89,0.06,0.1,,,,,5486.0,100.36,70.55,,,
Kepler-1296 b,Confirmed,,,,,,,0.081,0.005,0.008,8.3839865,8.648e-05,8.648e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1296,292.125189,41.407814,,,13.292,12.866,12.801,631.0,,,-0.04,0.164,0.158,0.87,0.05,0.04,0.83,0.05,0.07,,,,,5359.0,120.32,98.28,,,
Kepler-1297 b,Confirmed,,,,,,,0.087,0.008,0.014,1.68189002,1.032e-05,1.032e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1297,289.956501,47.020393,,,13.684,13.381,13.262,996.0,,,-0.04,0.189,0.156,0.99,0.06,0.06,0.99,0.09,0.16,,,,,5818.0,92.17,83.49,,,
Kepler-1298 b,Confirmed,,,,,,,0.117,0.021,0.021,7.12811928,4.863e-05,4.863e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1298,284.422735,49.106224,,,10.415,10.214,10.149,498.0,,,0.13,0.082,0.09,1.45,0.11,0.12,2.0,0.35,0.34,,,,,6339.0,65.86,64.06,,,
Kepler-1299 b,Confirmed,,,,,,,0.266,0.037,0.059,19.9400874,0.0001457,0.0001457,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1299,286.150155,37.411377,,,14.644,14.284,14.191,1352.0,,,-0.01,0.174,0.139,0.94,0.06,0.04,0.91,0.06,0.13,,,,,5609.0,129.75,92.88,,,
Kepler-13 A b,Confirmed,6.6,1.5,1.5,6.5,1.5,1.5,1.406,0.038,0.038,1.7633587,2e-06,2e-06,,,,,,,81.8,0.2,0.2,,2011,2016-02-24,,,,,,,,,,2455138.7439,0.0013,0.0013,,,,,0.9,0.9,,0.02,0.02,,,,,,,,,,2750.0,,0.33,0.06,0.04,,Published in a refereed paper,Primary Transit,Radial Velocity,,"KOI-13.01, Kepler-13 b, KOI-13 b",,Kepler-13,286.9708333,46.8683333,10.0,,,,,,,,-0.14,,,2.05,,,2.55,,,,,,,8500.0,400.0,400.0,,,
Kepler-130 b,Confirmed,,,,,,,0.08707,0.00401,0.00401,8.4572,0.00011,0.00011,0.079,,,0.15,0.15,0.14,,,,,2014,2015-12-17,,,,,,,,,,,,,,,,,,,0.12,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-130,288.4506531,40.245304,,,10.81,10.529,10.49,,,,0.02,0.46,0.46,1.0,0.09,0.09,1.13,0.03,0.03,,,,,5884.0,75.0,75.0,,,
Kepler-130 c,Confirmed,,,,,,,0.2508,0.0075,0.0075,27.508686,3.7e-05,3.7e-05,0.178,0.005,0.005,0.08,0.08,0.15,89.34,0.31,0.66,,2014,2015-12-17,0.0,0.0,10.89,,,,,,,,,,,,,,,,0.38,0.38,0.14,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-130,288.4506531,40.245304,,,10.81,10.529,10.49,,,,0.02,0.46,0.46,1.0,0.09,0.09,1.13,0.03,0.03,,,,,5884.0,75.0,75.0,,,
Kepler-130 d,Confirmed,,,,,,,0.117,0.012,0.012,87.5211,0.0024,0.0024,0.377,,,0.8,0.4,0.09,,,,,2014,2015-12-17,,,,,,,,,,,,,,,,,,,0.84,0.05,0.05,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-130,288.4506531,40.245304,,,10.81,10.529,10.49,,,,0.02,0.46,0.46,1.0,0.09,0.09,1.13,0.03,0.03,,,,,5884.0,75.0,75.0,,,
Kepler-1300 b,Confirmed,,,,,,,0.122,0.028,0.027,22.2419092,0.0002454,0.0002454,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1300,289.033022,40.086887,,,11.678,11.438,11.383,757.0,,,0.05,0.064,0.102,1.29,0.15,0.16,1.79,0.41,0.38,,,,,6130.0,108.91,87.31,,,
Kepler-1301 b,Confirmed,,,,,,,0.125,0.007,0.012,9.08237046,4.331e-05,4.331e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1301,286.604183,42.440319,,,13.963,13.535,13.469,816.0,,,0.01,0.162,0.141,0.85,0.04,0.04,0.81,0.04,0.05,,,,,5188.0,60.07,55.6,,,
Kepler-1302 b,Confirmed,,,,,,,0.128,0.008,0.013,8.83922659,5.866e-05,5.866e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1302,290.989241,50.30806,,,13.657,13.267,13.151,727.0,,,0.04,0.168,0.157,0.86,0.04,0.04,0.82,0.04,0.06,,,,,5236.0,77.09,58.55,,,
Kepler-1303 b,Confirmed,,,,,,,0.127,0.012,0.031,7.56127224,4.12e-05,4.12e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1303,284.287156,42.355614,,,13.451,13.119,13.086,905.0,,,0.04,0.156,0.133,1.01,0.05,0.05,1.0,0.09,0.24,,,,,5771.0,110.62,85.68,,,
Kepler-1304 b,Confirmed,,,,,,,0.204,0.047,0.017,16.1288853,0.0001191,0.0001191,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1304,285.276428,39.446916,,,13.604,13.157,13.054,682.0,,,-0.05,0.164,0.151,0.85,0.05,0.04,0.81,0.05,0.05,,,,,5259.0,121.88,97.24,,,
Kepler-1305 b,Confirmed,,,,,,,0.168,0.017,0.031,13.5630972,0.0001385,0.0001385,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1305,297.339446,46.347252,,,14.493,14.101,14.104,1343.0,,,0.01,0.16,0.12,0.97,0.06,0.06,0.96,0.09,0.17,,,,,5701.0,175.79,138.16,,,
Kepler-1306 b,Confirmed,,,,,,,0.17,0.016,0.04,16.29595382,7.404e-05,7.404e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1306,294.478341,46.945862,,,14.052,13.688,13.631,1130.0,,,0.0,0.172,0.13,0.98,0.06,0.07,0.97,0.09,0.22,,,,,5727.0,132.91,140.59,,,
Kepler-1307 b,Confirmed,,,,,,,0.22,0.024,0.059,18.01621096,9.522e-05,9.522e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1307,292.86984,46.741859,,,14.171,13.885,13.878,1396.0,,,0.06,0.147,0.145,1.06,0.06,0.07,1.08,0.11,0.29,,,,,5884.0,103.16,77.63,,,
Kepler-1308 b,Confirmed,,,,,,,0.046,0.004,0.005,2.10433812,4.24e-06,4.24e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1308,285.928896,38.520962,,,11.878,11.24,11.023,73.0,,,-0.13,0.074,0.078,0.35,0.04,0.04,0.34,0.03,0.03,,,,,3468.0,30.71,33.65,,,
Kepler-1309 b,Confirmed,,,,,,,0.211,0.018,0.018,28.8432647,0.0002652,0.0002652,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1309,298.735235,40.764155,,,14.141,13.674,13.542,845.0,,,-0.03,0.17,0.162,0.85,0.05,0.05,0.8,0.05,0.06,,,,,5235.0,154.88,99.72,,,
Kepler-131 b,Confirmed,0.05075,0.011,0.011,0.05075,0.011,0.011,0.215,0.018,0.018,16.092,,,,,,,,,,,,,2014,2015-11-23,,,,,,,,,,,,,,,,,,,0.79,0.02,0.02,,,,3.95,0.8,0.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-131,288.530833336,40.9423055814,11.525,11.334,10.418,10.127,10.079,,,,0.12,0.07,0.07,1.02,0.06,0.06,1.03,0.1,0.1,,3.66,,,5685.0,74.0,74.0,,,"KIC 5695396, KOI-283"
Kepler-131 c,Confirmed,0.026,0.019,0.019,0.026,0.019,0.019,0.075,0.006,0.006,25.516,,,,,,,,,,,,,2014,2015-11-23,,,,,,,,,,,,,,,,,,,0.27,0.16,0.16,,,,3.58,0.9,0.9,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-131,288.530833336,40.9423055814,11.525,11.334,10.418,10.127,10.079,,,,0.12,0.07,0.07,1.02,0.06,0.06,1.03,0.1,0.1,,3.66,,,5685.0,74.0,74.0,,,"KIC 5695396, KOI-283"
Kepler-1310 b,Confirmed,,,,,,,0.128,0.011,0.014,0.67933627,7.2e-07,7.2e-07,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1310,283.920035,40.740123,,,12.912,12.516,12.436,583.0,,,-0.07,0.183,0.151,0.91,0.06,0.05,0.88,0.07,0.1,,,,,5549.0,124.53,136.6,,,
Kepler-1311 b,Confirmed,,,,,,,0.111,0.023,0.022,11.1726994,0.0001387,0.0001387,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1311,289.651263,43.824417,,,12.169,11.859,11.825,705.0,,,0.09,0.073,0.101,1.05,0.06,0.08,1.4,0.3,0.3,,,,,5748.0,72.3,87.26,,,
Kepler-1311 c,Confirmed,,,,,,,0.109,0.021,0.025,2.53573424,1.018e-05,1.018e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1311,289.651263,43.824417,,,12.169,11.859,11.825,705.0,,,0.09,0.073,0.101,1.05,0.06,0.08,1.4,0.3,0.3,,,,,5748.0,72.3,87.26,,,
Kepler-1312 b,Confirmed,,,,,,,0.187,0.006,0.007,5.44832529,7.35e-06,7.35e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1312,292.971241,41.035764,,,11.323,10.947,10.907,305.0,,,-0.02,0.096,0.094,0.99,0.03,0.03,0.92,0.03,0.03,,,,,5719.0,58.57,71.88,,,
Kepler-1313 b,Confirmed,,,,,,,0.157,0.007,0.005,3.83309118,5.34e-06,5.34e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1313,292.388546,42.233261,,,10.522,10.13,10.088,187.0,,,0.0,0.1,0.093,0.92,0.03,0.03,0.85,0.03,0.03,,,,,5453.0,76.05,82.15,,,
Kepler-1314 b,Confirmed,,,,,,,0.456,0.017,0.017,5.42474928,3.97e-06,3.97e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1314,294.237938,45.197322,,,14.101,13.51,13.22,462.0,,,-0.22,0.068,0.078,0.6,0.02,0.02,0.59,0.02,0.02,,,,,4188.0,113.71,92.28,,,
Kepler-1315 b,Confirmed,,,,,,,0.123,0.005,0.007,0.84338011,8.2e-07,8.2e-07,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1315,295.821448,46.053029,,,13.33,12.808,12.684,505.0,,,0.07,0.165,0.157,0.8,0.04,0.03,0.75,0.03,0.03,,,,,4861.0,112.47,81.92,,,
Kepler-1316 b,Confirmed,,,,,,,0.316,0.034,0.049,87.9732136,0.0005231,0.0005231,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1316,298.835871,40.293136,,,12.807,12.488,12.442,753.0,,,0.03,0.084,0.084,1.04,0.05,0.05,1.12,0.12,0.17,,,,,5884.0,96.34,97.8,,,
Kepler-1317 b,Confirmed,,,,,,,0.139,0.007,0.008,0.56887443,6e-07,6e-07,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1317,291.611881,42.115971,,,13.822,13.316,13.309,734.0,,,-0.01,0.156,0.133,0.83,0.04,0.04,0.79,0.04,0.04,,,,,5144.0,69.2,84.2,,,
Kepler-1318 b,Confirmed,,,,,,,0.277,0.013,0.015,213.257663,0.001051,0.001051,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1318,290.376313,41.150741,,,13.514,12.875,12.767,475.0,,,-0.01,0.146,0.141,0.73,0.04,0.03,0.7,0.03,0.02,,,,,4598.0,51.73,63.77,,,
Kepler-1319 A b,Confirmed,,,,,,,0.126,0.015,0.018,2.88676239,3.77e-06,3.77e-06,,,,0.33,0.08,0.07,,,,,2016,2017-08-17,,,,,,,,,,2455371.69953,0.00128,0.00136,,,,,,,0.65,0.41,0.22,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"KIC 11453592 b, KOI-2705 A b",,Kepler-1319 A,290.956068,49.366306,,,11.57,10.927,10.726,116.3,17.6,17.6,-0.03,0.09,0.09,0.557,0.055,0.063,0.539,0.05,0.062,,,,,3673.0,81.0,103.0,,,"KIC 11453592, KOI-2705 A"
Kepler-132 b,Confirmed,,,,,,,0.108,0.021,0.021,6.178196,2.2e-05,2.2e-05,0.067,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-132,283.23580935,41.343037,,,10.797,10.516,10.424,,,,-0.053,,,,,,1.18,0.23,0.23,,,,,6003.0,146.0,146.0,,,
